QB DVOA,QB,PRE W/L,TM,DAVE O,D,RUSH OFF,RUSH DEF,QB DVOA1,QB1,PRE W/L1,TM1,DAVE O,D1,RUSH OFF,PASS OFF,RUSH DEF,ATS,QBE,DIFDW1,DIFDW1O,ST,O DIFF,D DIFF,QBRUND,Eyds/GM,ID,12-6.5% MOVE,NET Yds/Drive,NET Pts/Drive,NET TOs/Drive,NET Avg. Lead,NET LOS/Drive,OFF TDs/Drive,OFF Stops/Drive,d3Outs/Drive,TTL Open O/U,TTL Close O/U,2nd HF SIDE,1st HF Margin,1st HF ATS Margin,INT/Drive,BOFF,BETTER SP,AVG TT,AVG CAY,AVG IAY,AVG AYD,AVG AGG,AYTS,AVG ATT,AVG YDS,AVG TD,AVG INT,AVG RATE,AVGCOMP,AVG xCOMP,AVG YPP,AVG xYPP,AVG xYards,AVG YPP +/-,TEAM,closeline,push
0.212,74.3,W,0.059,0.062,-0.03,0.324,-0.046,0.318,85.2,L,0.144,0.191,0.092,0.444,0.03,0.197,1,0,0.043,0.209,-0.043,-0.005,0.119,0,2.833333333,20167SD6.5ATL3330,0,2.375207297,0.294983416,0.011401327,7.077114428,2.091832504,0.268656716,0.343283582,0.194444444,0,0,1,-10,-3.5,0.044776119,0,0,2.508457711,6.567164179,8.425870647,-1.858706468,16.89154229,-0.205472637,33.5,274.5,2,0.5,103.258209,23.27363184,22.15847761,8.194029851,7.890658303,271.3987164,0.303371548,LAC,6.5,0
0.318,85.2,L,0.144,0.191,0.092,0.444,0.197,0.212,74.3,W,0.059,0.062,-0.03,0.324,-0.176,-0.046,0,1,0.209,0.043,0.06,0.209,-0.039,0,12.16666667,20167ATL-6.5SD3033,0,5.077167277,0.49035409,0.002442002,3.98009768,2.674481074,0.333333333,0.365079365,0.184615385,0,0,0,10,3.5,0.047619048,1,1,2.62352381,7.597619048,9.296666667,-1.699047619,19.97571429,0.155238095,35,345.8333333,2.5,0.5,117.072381,24.41428571,22.4964619,9.880952381,9.246939027,328.3879905,0.634013354,ATL,-6.5,0
-0.12,60,W,-0.167,-0.116,0.023,0.022,0.197,-0.35,73.2,L,-0.177,-0.102,0.033,-0.166,-0.003,0.058,1,0,-0.125,-0.019,-0.031,-0.105,-0.055,0,13.4,20167TB-2SF3417,0,-3.80877193,-0.796491228,0.095614035,-4.639035088,-4.096491228,0.183333333,0.466666667,0.245614035,0,0,1,3,1,0.133333333,0,1,2.838067633,7.614975845,10.57971014,-2.9647343,22.69178744,1.261835749,41.4,265.4,1.8,1.6,75.58985507,25.90821256,25.34289372,6.410628019,6.172497612,273.4227295,0.238130408,TB,-2,0
-0.35,73.2,L,-0.177,-0.102,0.033,-0.166,0.058,-0.12,60,W,-0.167,-0.116,0.023,0.022,-0.226,0.197,0,1,-0.019,-0.125,-0.046,0.008,0.002,1,18.16666667,20167SF2TB1734,1,-4.998614719,-0.592380952,-0.01021645,-4.3404329,-5.223549784,0.2,0.546666667,0.181818182,0,0,0,-3,-1,0.08,1,0,2.94,6.4,10.6,-4.2,17.2,1.3,29,187,1,0,77.8,13,16.994,6.448275862,7.336359096,212.7544138,-0.888083234,SF,2,0
0.565,89,W,0.154,0.146,0.017,0.587,0.232,0.047,73.6,L,0.097,0.133,0.057,0.266,-0.037,0.17,1,1,-0.023,-0.061,0.021,0.052,-0.074,0,-0.333333333,20167NE-7PIT2716,0,2.96875,0.84375,-0.046875,8.2421875,8.125,0.265625,0.453125,0.1875,1,1,1,4,-3,0,1,0,2.445333333,6.733333333,7.473333333,-0.74,13.34666667,-1.4,37.5,391,3,0,133.44,28.46666667,26.67866667,10.42666667,9.896015238,372.9941333,0.530651429,NE,-7,0
0.047,73.6,L,0.097,0.133,0.057,0.266,0.17,0.565,89,W,0.154,0.146,0.017,0.587,-0.18,0.232,0,0,-0.061,-0.023,0.027,-0.038,-0.072,0,0,20167PIT7NE1627,0,-2.058823529,0.524509804,0.032976827,3.303030303,2.395276292,0.303030303,0.454545455,0.161764706,1,1,0,-4,3,0.090909091,0,1,2.539778761,6.863274336,9.38539823,-2.522123894,15.04823009,1.137168142,37.66666667,280.8333333,2.666666667,1,96.08230088,24.76106195,25.09582743,7.455752212,7.35886971,283.2907434,0.096882503,PIT,7,0
0.137,59.6,W,0.282,0.028,-0.229,0.27,-0.241,-0.1,54.4,W,0.115,-0.041,-0.184,-0.082,0.031,-0.251,1,1,0.038,-0.067,0.026,-0.125,0.172,0,1.4,20167SEA2ARI66,0,4.829573935,0.506578947,-0.015977444,5.806547619,1.987781955,0.196428571,0.464285714,0.263157895,1,1,1,-3,-1,0.035714286,1,1,2.437705882,7.006470588,7.981176471,-0.974705882,14.11,-1.085294118,34,266.8,1,0.2,97.04294118,23.15882353,22.52414706,7.847058824,7.532514199,259.3280941,0.314544624,SEA,2,0
-0.1,54.4,W,0.115,-0.041,-0.184,-0.082,-0.251,0.137,59.6,W,0.282,0.028,-0.229,0.27,-0.232,-0.241,0,0,-0.067,0.038,-0.031,-0.195,0.129,0,0,20167ARI-2SEA66,0,6.727895149,0.619913928,-0.044209703,2.206474961,5.837050078,0.25,0.486111111,0.23943662,1,1,0,3,1,0.097222222,0,0,2.505294118,8.170053476,10.92299465,-2.752941176,17.11122995,1.80802139,37.4,272.6,1.4,1,84.15668449,23.03743316,22.68877005,7.288770053,7.059728953,267.8690053,0.2290411,ARI,-2,0
-0.219,49.9,W,-0.204,-0.183,-0.039,-0.181,-0.08,-0.041,55.1,L,0.1,-0.068,-0.165,0.05,-0.119,-0.231,0,0,-0.149,0.09,-0.078,-0.115,0.03,0,13.33333333,20167HOU7.5DEN927,0,3.415197807,-0.157853506,0.034860948,-3.726694085,-4.241284763,0.130434783,0.492753623,0.310810811,1,1,0,-8,-0.5,0.115942029,0,0,2.507180617,6.987665198,9.818061674,-2.830396476,19.82555066,1.128634361,37.83333333,233.6666667,1.333333333,1.333333333,74.09471366,22.37444934,22.81891189,6.176211454,6.160192282,231.7364846,0.016019171,HOU,7.5,0
-0.041,55.1,L,0.1,-0.068,-0.165,0.05,-0.231,-0.219,49.9,W,-0.204,-0.183,-0.039,-0.181,-0.206,-0.08,1,1,0.09,-0.149,0.006,0.04,0.058,0,9,20167DEN-7.5HOU279,1,3.344078144,0.240537241,-0.003907204,-1.642124542,0.056410256,0.2,0.446153846,0.253968254,1,1,1,8,0.5,0.061538462,1,1,2.608194444,6.43125,7.647222222,-1.215972222,11.80277778,-1.434722222,36,246.5,1.5,0.75,89.64513889,24.29861111,22.816625,6.847222222,6.613536986,240.2147222,0.233685236,DEN,-7.5,0
-0.197,47.8,L,-0.114,-0.152,-0.039,-0.088,-0.061,-0.007,53.3,L,-0.047,0.038,0.014,0.16,0.01,0.121,0,0,-0.028,0.038,0,-0.067,0.026,1,26.5,20168JAC3.5TEN2236,0,-2.551786522,-0.677973768,0.103573044,-6.02125735,-2.459746721,0.179104478,0.432835821,0.242424242,0,0,1,-27,-23.5,0.134328358,0,1,2.624067797,5.828389831,8.550847458,-2.722457627,22.88135593,-0.432627119,39.33333333,261.1666667,1.5,1.5,76.35254237,24.04237288,24.90127542,6.639830508,6.74490665,270.0841483,-0.105076142,JAC,3.5,0
-0.007,53.3,L,-0.047,0.038,0.014,0.16,0.121,-0.197,47.8,L,-0.114,-0.152,-0.039,-0.088,-0.198,-0.061,1,1,0.038,-0.028,-0.078,0.071,0.056,0,28.14285714,20168TEN-3.5JAC3622,0,1.604700855,0.135683761,0.044871795,-1.391559829,0.326923077,0.230769231,0.461538462,0.277777778,0,0,0,27,23.5,0.076923077,1,0,2.655088496,7.430530973,9.312389381,-1.881858407,22.56238938,-0.025663717,32.28571429,229.1428571,1.714285714,0.857142857,89.32168142,20.30973451,19.87446903,7.097345133,6.974108465,226.1944071,0.123236667,TEN,-3.5,0
0.072,60.4,L,0.019,0.037,0.039,0.185,0.023,0.159,66.5,W,0.005,0.111,0.05,0.315,-0.004,0.128,1,0,0.108,-0.036,0.024,0.073,0.015,0,0.428571429,20168WAS3CIN2727,0,4.012043274,0.010002041,0.010818534,-0.785058175,1.088181261,0.211267606,0.338028169,0.188405797,0,0,0,3,6,0.084507042,0,1,2.726856061,7.048106061,9.142424242,-2.094318182,13.24469697,0.240151515,37.71428571,285.1428571,1.428571429,0.857142857,92.58674242,25.87121212,22.64746212,7.560606061,6.962226672,268.9188068,0.598379388,WAS,3,0
0.159,66.5,W,0.005,0.111,0.05,0.315,0.128,0.072,60.4,L,0.019,0.037,0.039,0.185,0.011,0.023,0,1,-0.036,0.108,-0.062,0.105,-0.078,0,15.28571429,20168CIN-3WAS2727,0,3.408552388,-0.29988893,-0.069233617,-1.976490189,-4.462421325,0.189189189,0.459459459,0.232876712,0,0,1,-3,-6,0.027027027,1,0,2.517235772,7.591869919,8.924796748,-1.332926829,16.67357724,-0.404065041,35.14285714,295,1.142857143,0.285714286,100.7365854,24.67073171,22.69355691,8.394308943,7.772724296,281.9168252,0.621584647,CIN,-3,0
0.078,73.2,W,0.16,0.055,-0.109,0.192,0.004,0.311,82.1,L,0.162,0.186,0.077,0.423,0.041,0.158,1,0,0.075,0.227,-0.002,-0.051,0.134,1,15.33333333,20168GB3ATL3233,0,5.787315473,0.291962821,0.042646255,3.214734828,-3.265992346,0.241935484,0.322580645,0.169491525,0,0,0,5,8,0.064516129,0,0,2.820042194,5.727848101,8.592827004,-2.864978903,15.20759494,0.308860759,39.5,249.3333333,2.166666667,0.666666667,90.05738397,26.5021097,26.26031224,6.312236287,6.274917093,258.0001013,0.037319194,GB,3,0
0.311,82.1,L,0.162,0.186,0.077,0.423,0.158,0.078,73.2,W,0.16,0.055,-0.109,0.192,-0.109,0.004,0,1,0.227,0.075,0.059,0.183,-0.018,0,11.28571429,20168ATL-3GB3332,0,3.368776671,0.284495021,-0.011024182,3.970483642,3.377667141,0.310810811,0.351351351,0.184210526,0,0,1,-5,-8,0.054054054,1,1,2.657868852,7.695491803,9.534016393,-1.83852459,20.46680328,0.189344262,34.85714286,335.4285714,2.285714286,0.571428571,112.8819672,24.07786885,22.01956148,9.62295082,8.980996462,317.3962295,0.641954358,ATL,-3,0
0.149,71.3,W,-0.149,0.036,0.238,0.282,0.459,-0.255,47.8,L,-0.239,-0.203,-0.028,-0.222,-0.178,-0.064,0,1,-0.154,-0.184,0.06,0.028,-0.268,1,17.57142857,20168DET3HOU1320,0,-4.012096774,-0.107862903,-0.013104839,-0.125756048,1.303931452,0.290322581,0.387096774,0.125,1,1,1,-11,-8,0.064516129,1,1,2.544333333,5.79875,7.65375,-1.855,22.4925,-1.59375,34.28571429,271.5714286,2,0.571428571,103.4966667,23.775,21.40255833,7.920833333,7.328487141,258.1735792,0.592346193,DET,3,0
-0.255,47.8,L,-0.239,-0.203,-0.028,-0.222,-0.064,0.149,71.3,W,-0.149,0.036,0.238,0.282,-0.179,0.459,1,0,-0.184,-0.154,-0.072,-0.126,0.013,0,10.14285714,20168HOU-3DET2013,0,2.630347402,-0.351277634,0.053689348,-4.022896928,-4.629916738,0.111111111,0.50617284,0.325581395,1,1,0,11,8,0.098765432,0,0,2.504552239,6.484701493,9.708208955,-3.223507463,22.00932836,1.200746269,38.28571429,219,1.142857143,1.142857143,71.95373134,22.31716418,22.83422388,5.720149254,5.717537183,216.7745187,0.00261207,HOU,-3,0
